Date,Henry Hub
2/12/21,4.63
2/19/21,12.18
2/26/21,2.86
3/5/21,2.79
3/12/21,2.65
3/19/21,2.53
3/26/21,2.54
4/2/21,2.54
4/9/21,2.45
4/16/21,2.59
4/23/21,2.76
4/30/21,2.88
5/7/21,2.95
5/14/21,2.93
5/21/21,2.91
5/28/21,2.86
6/4/21,3.03
6/11/21,3.12
6/18/21,3.28
6/25/21,3.28
7/2/21,3.72
7/9/21,3.65
7/16/21,3.73
7/23/21,3.93
7/30/21,4.06
8/6/21,4.15
8/13/21,4.1
8/20/21,3.9
8/27/21,4.07
9/3/21,4.49
9/10/21,4.87
9/17/21,5.42
9/24/21,5.03
10/1/21,5.68
10/8/21,5.87
10/15/21,5.54
10/22/21,4.95
10/29/21,5.68
11/5/21,5.48
11/12/21,4.99
11/19/21,4.91
11/26/21,4.9
12/3/21,4.32
12/10/21,3.68
12/17/21,3.78
12/24/21,3.85
12/31/21,3.57
1/7/22,3.8
1/14/22,4.42
1/21/22,4.5
1/28/22,4.6
2/4/22,5.78
2/11/22,4.19
2/18/22,4.39
2/25/22,4.62
3/4/22,4.57
3/11/22,4.7
3/18/22,4.68
3/25/22,5.14
4/1/22,5.41
4/8/22,6.08
4/15/22,6.64
4/22/22,7.1
4/29/22,6.81
5/6/22,8.04
5/13/22,7.47
5/20/22,8.21
5/27/22,8.79
6/3/22,8.54
6/10/22,8.95
6/17/22,7.93
6/24/22,6.43
7/1/22,6.35
7/8/22,5.9
7/15/22,6.76
7/22/22,7.76
7/29/22,8.74
8/5/22,8.14
8/12/22,8.15
8/19/22,9.19
8/26/22,9.56
9/2/22,9.17
9/9/22,8.3
9/16/22,8.42
9/23/22,7.69
9/30/22,6.63
10/7/22,6.01
10/14/22,6.29
10/21/22,5.48
10/28/22,5.12
11/4/22,4.57
11/11/22,4.34
11/18/22,6.06
11/25/22,6.41
12/2/22,6.06
12/9/22,4.6
12/16/22,6.78
12/23/22,6.35
12/30/22,4.06
1/6/23,3.65
1/13/23,3.46
1/20/23,3.17
1/27/23,3.08
2/3/23,2.64
2/10/23,2.34
2/17/23,2.41
2/24/23,2.18
3/3/23,2.6
3/10/23,2.48
3/17/23,2.47
3/24/23,2.06
3/31/23,2.01
4/7/23,2.14
